Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,3038.487061,3069.252930,3006.268066,3060.754883,3060.754883,223900
2020-01-23,3037.951904,3045.041016,2955.345947,2976.528076,2976.528076,272800
2020-02-03,2716.697998,2766.576904,2716.697998,2746.605957,2746.605957,215900
2020-02-04,2685.269043,2786.164063,2685.269043,2783.288086,2783.288086,364000
2020-02-05,2792.371094,2842.742920,2778.864014,2818.087891,2818.087891,309800
2020-02-06,2826.889893,2876.590088,2807.610107,2866.510010,2866.510010,316400
2020-02-07,2858.929932,2875.959961,2838.770020,2875.959961,2875.959961,309500
2020-02-10,2860.499023,2891.847900,2851.050049,2890.488037,2890.488037,294900
2020-02-11,2894.540039,2913.820068,2882.239990,2901.669922,2901.669922,269200
2020-02-12,2895.555908,2926.898926,2892.424072,2926.898926,2926.898926,248700
2020-02-13,2927.144043,2935.406006,2901.242920,2906.073975,2906.073975,274800
2020-02-14,2899.865967,2926.943115,2899.573975,2917.008057,2917.008057,250700
2020-02-17,2924.990967,2983.636963,2924.990967,2983.622070,2983.622070,313200
2020-02-18,2981.409912,2990.600098,2960.774902,2984.971924,2984.971924,311700
2020-02-19,2979.521973,2998.271973,2971.822021,2975.402100,2975.402100,315100
2020-02-20,2981.879883,3031.371094,2968.445068,3030.154053,3030.154053,345700
2020-02-21,3022.246094,3058.897949,3020.141113,3039.668945,3039.668945,364600
2020-02-24,3027.893066,3042.181885,3007.355957,3031.232910,3031.232910,370400
2020-02-25,2982.070068,3016.946045,2943.717041,3013.050049,3013.050049,441600
2020-02-26,2987.928955,2987.928955,2987.928955,2987.928955,2987.928955,0
2020-02-27,2992.489990,3009.459961,2980.479980,2991.330078,2991.330078,350500
2020-02-28,2924.641113,2948.125977,2878.543945,2880.303955,2880.303955,401200
2020-03-02,2899.310059,2982.507080,2899.310059,2970.930908,2970.930908,367300
2020-03-03,3006.888916,3026.842041,2976.623047,2992.896973,2992.896973,410100
2020-03-04,2981.805908,3012.003906,2974.357910,3011.666016,3011.666016,353300
2020-03-05,3036.155029,3074.257080,3022.926025,3071.677002,3071.677002,445400
2020-03-06,3039.939941,3052.444092,3029.462891,3034.510986,3034.510986,362100
2020-03-09,2987.180908,2989.205078,2940.714111,2943.291016,2943.291016,414600
2020-03-10,2918.935059,3000.295898,2904.799072,2996.761963,2996.761963,393300
2020-03-11,3001.761963,3010.029053,2968.517090,2968.517090,2968.517090,352500
2020-03-12,2936.016113,2944.465088,2906.283936,2923.486084,2923.486084,307800
2020-03-13,2804.231934,2910.881104,2799.983887,2887.427002,2887.427002,366500
2020-03-16,2897.301025,2898.034912,2784.662109,2789.253906,2789.253906,351900
2020-03-17,2796.283936,2826.906982,2715.220947,2779.641113,2779.641113,306100
2020-03-18,2792.322021,2815.874023,2728.756104,2728.756104,2728.756104,291200
2020-03-19,2719.406006,2736.820068,2646.804932,2702.129883,2702.129883,302300
2020-03-20,2727.019043,2751.895996,2702.492920,2745.617920,2745.617920,252000
2020-03-23,2677.590088,2703.330078,2656.500000,2660.169922,2660.169922,249800
2020-03-24,2703.019043,2723.406982,2667.133057,2722.437988,2722.437988,257000
2020-03-25,2775.302979,2788.635010,2757.802002,2781.591064,2781.591064,273100
2020-03-26,2761.895996,2788.503906,2753.427979,2764.910889,2764.910889,234100
2020-03-27,2792.983887,2805.548096,2771.756104,2772.202881,2772.202881,240800
2020-03-30,2739.718994,2759.099121,2723.053955,2747.214111,2747.214111,239700
2020-03-31,2767.306885,2771.167969,2743.114990,2750.295898,2750.295898,218600
2020-04-01,2743.541016,2773.364014,2731.079102,2734.521973,2734.521973,217300
2020-04-02,2720.228027,2780.637939,2719.904053,2780.637939,2780.637939,217900
2020-04-03,2773.575928,2780.586914,2754.072998,2763.987061,2763.987061,200800
2020-04-07,2806.968018,2823.277100,2801.839111,2820.762939,2820.762939,270200
2020-04-08,2805.916992,2823.214111,2800.295898,2815.368896,2815.368896,243500
2020-04-09,2825.839111,2832.395020,2820.433105,2825.904053,2825.904053,238200
2020-04-10,2827.187012,2833.014893,2789.976074,2796.631104,2796.631104,233500
2020-04-13,2784.597900,2792.891113,2774.081055,2783.048096,2783.048096,177100
2020-04-14,2794.801025,2827.298096,2789.427979,2827.282959,2827.282959,202700
2020-04-15,2826.662109,2829.750000,2808.704102,2811.174072,2811.174072,205600
2020-04-16,2798.429932,2823.337891,2796.839111,2819.935059,2819.935059,203000
2020-04-17,2835.558105,2854.959961,2830.021973,2838.495117,2838.495117,245700
2020-04-20,2840.408936,2852.989990,2833.261963,2852.552979,2852.552979,211800
2020-04-21,2842.237061,2842.237061,2808.020996,2827.012939,2827.012939,233200
2020-04-22,2814.065918,2843.979980,2808.481934,2843.979980,2843.979980,217300
2020-04-23,2850.510010,2853.635986,2835.895996,2838.499023,2838.499023,248800
2020-04-24,2834.938965,2834.938965,2802.499023,2808.529053,2808.529053,235200
2020-04-27,2812.241943,2832.666016,2802.958008,2815.495117,2815.495117,210100
2020-04-28,2819.990967,2821.745117,2758.246094,2810.023926,2810.023926,253900
2020-04-29,2801.383057,2831.763916,2800.738037,2822.441895,2822.441895,202100
2020-04-30,2832.384033,2865.590088,2832.384033,2860.082031,2860.082031,242500
2020-05-06,2831.633057,2879.262939,2830.654053,2878.139893,2878.139893,249800
2020-05-07,2876.472900,2882.021973,2864.581055,2871.522949,2871.522949,226700
2020-05-08,2882.709961,2903.800049,2879.199951,2895.340088,2895.340088,226800
2020-05-11,2901.570068,2914.280029,2884.379883,2894.800049,2894.800049,225100
2020-05-12,2894.616943,2897.902100,2871.229980,2891.555908,2891.555908,197100
2020-05-13,2882.955078,2900.259033,2875.534912,2898.050049,2898.050049,185100
2020-05-14,2887.058105,2887.058105,2869.183105,2870.342041,2870.342041,197800
2020-05-15,2880.707031,2884.219971,2863.370117,2868.458984,2868.458984,189000
2020-05-18,2872.523926,2889.979980,2862.270996,2875.417969,2875.417969,226000
2020-05-19,2897.687012,2900.218994,2887.576904,2898.575928,2898.575928,197200
2020-05-20,2896.466064,2896.466064,2876.177002,2883.738037,2883.738037,210500
2020-05-21,2890.720947,2891.518066,2864.207031,2867.924072,2867.924072,203500
2020-05-22,2863.045898,2863.045898,2808.018066,2813.764893,2813.764893,209100
2020-05-25,2816.239990,2821.500000,2802.469971,2817.969971,2817.969971,172900
2020-05-26,2827.896973,2848.336914,2825.900879,2846.547119,2846.547119,174600
2020-05-27,2847.320068,2848.997070,2831.927979,2836.803955,2836.803955,198100
2020-05-28,2838.207031,2861.924072,2820.145996,2846.221924,2846.221924,207500
2020-05-29,2835.583984,2855.375977,2829.626953,2852.351074,2852.351074,206800
2020-06-01,2871.964111,2917.150879,2871.964111,2915.430908,2915.430908,260200
2020-06-02,2916.316895,2926.358887,2909.127930,2921.397949,2921.397949,256100
2020-06-03,2930.391113,2942.760010,2922.660889,2923.371094,2923.371094,255700
2020-06-04,2931.837891,2932.968018,2910.751953,2919.250977,2919.250977,226600
2020-06-05,2923.188965,2930.799072,2909.117920,2930.799072,2930.799072,217400
