Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,2583.620117,2583.620117,2560.280029,2562.570068,2562.570068,0
2020-01-23,2548.050049,2562.699951,2532.360107,2558.510010,2558.510010,0
2020-01-24,2558.510010,2561.330078,2523.679932,2529.550049,2529.550049,0
2020-01-27,2498.500000,2507.350098,2478.929932,2478.929932,2478.929932,0
2020-01-28,2488.020020,2496.379883,2476.300049,2477.689941,2477.689941,0
2020-01-29,2490.439941,2494.139893,2465.479980,2468.050049,2468.050049,0
2020-01-30,2453.889893,2469.909912,2453.439941,2467.639893,2467.639893,0
2020-01-31,2461.570068,2468.030029,2430.090088,2431.409912,2431.409912,0
2020-02-03,2431.409912,2435.679932,2408.729980,2411.719971,2411.719971,0
2020-02-04,2427.209961,2439.760010,2417.919922,2420.820068,2420.820068,0
2020-02-05,2435.739990,2458.530029,2435.739990,2454.219971,2454.219971,0
2020-02-06,2452.909912,2452.909912,2418.959961,2433.500000,2433.500000,0
2020-02-07,2422.300049,2427.080078,2402.250000,2404.229980,2404.229980,0
2020-02-10,2396.929932,2396.969971,2376.189941,2381.280029,2381.280029,0
2020-02-11,2396.300049,2406.570068,2390.010010,2395.709961,2395.709961,0
2020-02-12,2410.270020,2421.290039,2406.110107,2411.139893,2411.139893,0
2020-02-13,2408.479980,2413.550049,2393.949951,2401.000000,2401.000000,0
2020-02-14,2402.820068,2416.340088,2395.040039,2403.290039,2403.290039,0
2020-02-18,2400.439941,2417.239990,2397.169922,2410.000000,2410.000000,0
2020-02-19,2419.090088,2431.719971,2409.620117,2425.699951,2425.699951,0
2020-02-20,2429.199951,2443.280029,2423.229980,2424.379883,2424.379883,0
2020-02-21,2424.379883,2424.379883,2400.959961,2406.889893,2406.889893,0
2020-02-24,2362.469971,2371.060059,2347.080078,2361.189941,2361.189941,0
2020-02-25,2361.189941,2388.340088,2293.000000,2301.169922,2301.169922,0
2020-02-26,2306.020020,2314.719971,2249.320068,2253.840088,2253.840088,0
2020-02-27,2227.639893,2246.590088,2171.389893,2210.330078,2210.330078,0
2020-02-28,2162.199951,2213.699951,2134.080078,2213.699951,2213.699951,0
2020-03-02,2240.080078,2268.020020,2213.250000,2265.899902,2265.899902,0
2020-03-03,2269.820068,2289.209961,2227.919922,2244.679932,2244.679932,0
2020-03-04,2268.820068,2269.070068,2231.889893,2261.629883,2261.629883,0
2020-03-05,2227.419922,2228.870117,2172.219971,2192.729980,2192.729980,0
2020-03-06,2159.709961,2159.709961,2106.989990,2149.770020,2149.770020,0
2020-03-09,2149.770020,2149.770020,1863.619995,1875.859985,1875.859985,0
2020-03-10,1942.979980,1950.630005,1826.579956,1899.280029,1899.280029,0
2020-03-11,1867.420044,1870.020020,1760.910034,1775.689941,1775.689941,0
2020-03-12,1649.060059,1650.839966,1550.430054,1564.900024,1564.900024,0
2020-03-13,1630.739990,1645.540039,1525.170044,1602.250000,1602.250000,0
2020-03-16,1449.030029,1529.880005,1396.760010,1499.150024,1499.150024,0
2020-03-17,1502.560059,1541.390015,1424.329956,1503.069946,1503.069946,0
2020-03-18,1421.949951,1427.329956,1276.089966,1317.219971,1317.219971,0
2020-03-19,1312.050049,1428.369995,1277.920044,1399.560059,1399.560059,0
2020-03-20,1426.760010,1476.339966,1388.339966,1408.939941,1408.939941,0
2020-03-23,1422.589966,1422.589966,1327.829956,1336.380005,1336.380005,0
2020-03-24,1430.489990,1466.530029,1410.609985,1464.969971,1464.969971,0
2020-03-25,1484.619995,1558.400024,1441.959961,1516.189941,1516.189941,0
2020-03-26,1516.189941,1615.609985,1516.189941,1550.349976,1550.349976,0
2020-03-27,1518.189941,1518.189941,1472.780029,1487.229980,1487.229980,0
2020-03-30,1475.839966,1513.250000,1437.239990,1513.250000,1513.250000,0
2020-03-31,1524.209961,1568.589966,1512.369995,1537.000000,1537.000000,0
2020-04-01,1489.709961,1525.060059,1464.199951,1492.089966,1492.089966,0
2020-04-02,1521.810059,1600.709961,1512.099976,1557.609985,1557.609985,0
2020-04-03,1582.739990,1591.609985,1508.329956,1520.310059,1520.310059,0
2020-04-06,1552.079956,1584.140015,1549.920044,1583.380005,1583.380005,0
2020-04-07,1639.989990,1646.530029,1585.849976,1588.890015,1588.890015,0
2020-04-08,1613.270020,1662.339966,1605.520020,1661.640015,1661.640015,0
2020-04-09,1716.209961,1761.739990,1697.699951,1735.510010,1735.510010,0
2020-04-13,1751.880005,1751.880005,1701.709961,1729.180054,1729.180054,0
2020-04-14,1743.790039,1781.010010,1735.229980,1748.319946,1748.319946,0
2020-04-15,1709.699951,1716.250000,1687.979980,1706.900024,1706.900024,0
2020-04-16,1714.729980,1714.729980,1670.449951,1678.349976,1678.349976,0
2020-04-17,1682.890015,1744.790039,1676.329956,1739.790039,1739.790039,0
2020-04-20,1701.079956,1766.630005,1694.260010,1736.800049,1736.800049,0
2020-04-21,1687.670044,1737.209961,1687.439941,1731.839966,1731.839966,0
2020-04-22,1774.040039,1780.319946,1743.979980,1760.969971,1760.969971,0
2020-04-23,1792.849976,1822.479980,1769.890015,1775.910034,1775.910034,0
2020-04-24,1786.729980,1799.030029,1763.609985,1791.180054,1791.180054,0
